time,open,high,low,close,Volume
2022-04-05T18:00:00-04:00,14852.747,14852.747,14846.069,14847.739,176652.0
2022-04-05T18:03:00-04:00,14847.689,14848.797,14844.009,14845.619,119902.0
2022-04-05T18:06:00-04:00,14845.819,14846.097,14840.729,14841.699,135458.0
2022-04-05T18:09:00-04:00,14841.889,14843.599,14840.829,14842.119,66170.0
2022-04-05T18:12:00-04:00,14842.097,14842.097,14836.519,14836.619,106814.0
2022-04-05T18:15:00-04:00,14836.679,14840.789,14836.209,14838.519,101086.0
2022-04-05T18:18:00-04:00,14838.709,14838.999,14835.109,14835.259,115338.0
2022-04-05T18:21:00-04:00,14835.529,14836.189,14830.619,14830.849,115012.0
2022-04-05T18:24:00-04:00,14830.907,14831.789,14827.699,14827.699,99568.0
2022-04-05T18:27:00-04:00,14827.759,14831.189,14826.749,14829.909,123868.0
2022-04-05T18:30:00-04:00,14830.379,14836.689,14830.319,14835.029,116532.0
2022-04-05T18:33:00-04:00,14835.159,14838.069,14834.389,14837.889,75596.0
2022-04-05T18:36:00-04:00,14838.097,14838.097,14834.049,14834.989,67556.0
2022-04-05T18:39:00-04:00,14835.019,14838.399,14834.309,14836.899,91152.0
2022-04-05T18:42:00-04:00,14837.019,14840.487,14837.019,14838.819,120788.0
2022-04-05T18:45:00-04:00,14838.827,14840.589,14837.269,14837.659,77632.0
2022-04-05T18:48:00-04:00,14837.799,14839.999,14836.829,14839.129,56578.0
2022-04-05T18:51:00-04:00,14839.127,14840.809,14838.589,14839.389,55814.0
2022-04-05T18:54:00-04:00,14839.689,14840.299,14838.529,14839.079,60226.0
2022-04-05T18:57:00-04:00,14839.269,14839.499,14836.879,14837.329,73434.0
2022-04-05T19:00:00-04:00,14837.347,14838.879,14835.849,14838.339,64156.0
2022-04-05T19:03:00-04:00,14838.559,14838.887,14834.089,14834.199,76636.0
2022-04-05T19:06:00-04:00,14834.419,14835.917,14831.849,14833.119,72280.0
2022-04-05T19:09:00-04:00,14833.289,14833.409,14831.049,14832.389,69146.0
2022-04-05T19:12:00-04:00,14832.397,14832.799,14829.039,14829.039,49144.0
2022-04-05T19:15:00-04:00,14829.017,14831.089,14828.699,14829.689,84178.0
2022-04-05T19:18:00-04:00,14829.739,14831.689,14829.739,14831.539,84700.0
2022-04-05T19:21:00-04:00,14831.577,14832.077,14830.619,14830.779,81696.0
2022-04-05T19:24:00-04:00,14830.767,14830.919,14826.719,14826.719,86382.0
2022-04-05T19:27:00-04:00,14826.859,14829.589,14825.989,14827.649,88880.0
2022-04-05T19:30:00-04:00,14827.739,14828.899,14827.099,14828.139,78226.0
2022-04-05T19:33:00-04:00,14828.207,14831.609,14827.859,14831.199,87372.0
2022-04-05T19:36:00-04:00,14831.609,14831.647,14829.719,14829.859,75540.0
2022-04-05T19:39:00-04:00,14830.009,14839.297,14829.269,14838.769,87386.0
2022-04-05T19:42:00-04:00,14838.807,14841.099,14837.229,14839.629,170218.0
2022-04-05T19:45:00-04:00,14839.707,14839.799,14835.259,14836.829,173906.0
2022-04-05T19:48:00-04:00,14837.169,14837.219,14833.359,14834.209,133396.0
2022-04-05T19:51:00-04:00,14834.509,14835.899,14833.669,14834.219,135214.0
2022-04-05T19:54:00-04:00,14834.389,14835.787,14830.799,14830.837,101604.0
2022-04-05T19:57:00-04:00,14830.809,14833.297,14824.819,14828.279,195444.0
2022-04-05T20:00:00-04:00,14828.389,14828.589,14818.749,14819.799,274766.0
2022-04-05T20:03:00-04:00,14819.679,14829.699,14816.509,14828.679,283056.0
2022-04-05T20:06:00-04:00,14828.609,14834.207,14826.019,14830.709,267656.0
2022-04-05T20:09:00-04:00,14830.767,14834.097,14827.419,14833.049,212652.0
2022-04-05T20:12:00-04:00,14833.149,14837.599,14832.339,14834.049,239050.0
2022-04-05T20:15:00-04:00,14834.017,14836.799,14830.019,14830.629,246492.0
2022-04-05T20:18:00-04:00,14830.719,14831.299,14827.229,14828.729,198616.0
2022-04-05T20:21:00-04:00,14829.059,14830.109,14825.649,14826.599,156590.0
2022-04-05T20:24:00-04:00,14826.557,14829.109,14823.859,14824.539,179966.0
2022-04-05T20:27:00-04:00,14824.769,14825.309,14817.219,14818.529,224824.0
2022-04-05T20:30:00-04:00,14818.567,14818.567,14810.159,14811.519,236504.0
