time,open,high,low,close,Volume
2025-05-04T18:00:00-04:00,5679.7,5680.2,5669,5673.2,365
2025-05-04T18:03:00-04:00,5673,5675.5,5669.3,5675.4,213
2025-05-04T18:06:00-04:00,5675.3,5677.5,5670.8,5676.4,162
2025-05-04T18:09:00-04:00,5676.3,5677,5672.3,5673.9,124
2025-05-04T18:12:00-04:00,5673.8,5673.8,5670.5,5672.3,129
2025-05-04T18:15:00-04:00,5672.5,5672.7,5670.5,5670.9,73
2025-05-04T18:18:00-04:00,5670.8,5671.3,5670.2,5670.8,75
2025-05-04T18:21:00-04:00,5670.7,5673.5,5670,5672.9,85
2025-05-04T18:24:00-04:00,5672.8,5674.5,5672.3,5672.9,76
2025-05-04T18:27:00-04:00,5673,5673,5667,5669,135
2025-05-04T18:30:00-04:00,5669.2,5672.2,5668.5,5669,141
2025-05-04T18:33:00-04:00,5669.4,5670.2,5668,5668.8,94
2025-05-04T18:36:00-04:00,5668.9,5670.5,5667.8,5668,104
2025-05-04T18:39:00-04:00,5668.2,5669.8,5666.5,5667,111
2025-05-04T18:42:00-04:00,5666.5,5667.4,5663.8,5664.4,132
2025-05-04T18:45:00-04:00,5664.3,5665.5,5663.3,5664.4,76
2025-05-04T18:48:00-04:00,5664.3,5666,5664.3,5665.7,36
2025-05-04T18:51:00-04:00,5665.5,5666.5,5665.3,5665.5,50
2025-05-04T18:54:00-04:00,5665.4,5665.8,5663.8,5665,72
2025-05-04T18:57:00-04:00,5664.8,5665.4,5664.4,5664.7,46
2025-05-04T19:00:00-04:00,5664.5,5665,5662.8,5663,123
2025-05-04T19:03:00-04:00,5663.2,5665.4,5663.2,5665.2,62
2025-05-04T19:06:00-04:00,5665,5665,5662.8,5663.5,75
2025-05-04T19:09:00-04:00,5663.3,5664,5663.3,5663.8,23
2025-05-04T19:12:00-04:00,5664.3,5666.5,5663.8,5666.3,55
2025-05-04T19:15:00-04:00,5666.5,5667.3,5663.8,5664.2,123
2025-05-04T19:18:00-04:00,5664,5664.3,5662.5,5663.9,92
2025-05-04T19:21:00-04:00,5663.8,5665.5,5661.9,5662.3,107
2025-05-04T19:24:00-04:00,5662.5,5662.8,5661.3,5661.7,65
2025-05-04T19:27:00-04:00,5661.8,5662,5660.8,5661.5,54
2025-05-04T19:30:00-04:00,5661.3,5661.8,5660,5660.9,101
2025-05-04T19:33:00-04:00,5660.8,5663.4,5660.5,5662.8,76
2025-05-04T19:36:00-04:00,5662.5,5663.8,5661.2,5661.2,87
2025-05-04T19:39:00-04:00,5661,5661,5657.8,5658,82
2025-05-04T19:42:00-04:00,5657.9,5659,5653.8,5653.9,105
2025-05-04T19:45:00-04:00,5654.2,5654.8,5648.8,5652.8,319
2025-05-04T19:48:00-04:00,5653.2,5655.4,5652.9,5655,137
2025-05-04T19:51:00-04:00,5654.9,5656.8,5653,5655.7,122
2025-05-04T19:54:00-04:00,5655.8,5656.5,5654,5655.3,71
2025-05-04T19:57:00-04:00,5655.2,5656.3,5655.2,5655.8,73
2025-05-04T20:00:00-04:00,5655.9,5658.8,5655.5,5656.9,191
2025-05-04T20:03:00-04:00,5656.5,5656.9,5654.4,5655.3,147
2025-05-04T20:06:00-04:00,5655.2,5657.9,5653.5,5657.9,127
2025-05-04T20:09:00-04:00,5658,5658.4,5656,5656.8,121
2025-05-04T20:12:00-04:00,5656.7,5657.3,5656.2,5656.2,140
2025-05-04T20:15:00-04:00,5656.3,5657.4,5655.5,5656.2,139
2025-05-04T20:18:00-04:00,5656.3,5657.2,5654.3,5654.5,150
2025-05-04T20:21:00-04:00,5654.8,5656.8,5654.4,5655.4,118
2025-05-04T20:24:00-04:00,5655.5,5658,5655.3,5657.5,105
2025-05-04T20:27:00-04:00,5657.7,5659.5,5657.5,5659,141
2025-05-04T20:30:00-04:00,5659.3,5659.8,5657.2,5658.5,107
2025-05-04T20:33:00-04:00,5658.7,5658.8,5657.8,5658.4,73
2025-05-04T20:36:00-04:00,5658.3,5659.4,5658,5658,73
2025-05-04T20:39:00-04:00,5657.9,5659.2,5657.8,5658.5,53
2025-05-04T20:42:00-04:00,5658.4,5658.8,5656.4,5657.3,70
2025-05-04T20:45:00-04:00,5657.4,5660.5,5656.5,5659.3,135
2025-05-04T20:48:00-04:00,5659.5,5659.8,5658,5658,74
2025-05-04T20:51:00-04:00,5657.8,5660.3,5657.3,5660.3,90
2025-05-04T20:54:00-04:00,5660,5660.5,5658.3,5658.4,61
2025-05-04T20:57:00-04:00,5658.3,5658.8,5657.8,5658.5,66
2025-05-04T21:00:00-04:00,5658.3,5658.8,5656.8,5656.8,94
2025-05-04T21:03:00-04:00,5656.9,5657.5,5655.3,5655.5,111
2025-05-04T21:06:00-04:00,5655.7,5656.5,5653,5653.2,137
2025-05-04T21:09:00-04:00,5653.3,5653.8,5651.9,5652.8,129
2025-05-04T21:12:00-04:00,5652.9,5653.8,5652.2,5653,87
2025-05-04T21:15:00-04:00,5653.2,5654.5,5653.2,5653.9,93
2025-05-04T21:18:00-04:00,5654,5654,5653.2,5653.2,48
2025-05-04T21:21:00-04:00,5653,5653.5,5652,5652.4,58
2025-05-04T21:24:00-04:00,5652.3,5653.3,5650.8,5651,76
2025-05-04T21:27:00-04:00,5650.9,5651.8,5650.8,5650.8,106
2025-05-04T21:30:00-04:00,5650.7,5651.2,5649.5,5650.5,101
2025-05-04T21:33:00-04:00,5650.3,5651.3,5649.8,5650.5,101
2025-05-04T21:36:00-04:00,5650.4,5651,5649,5650.5,94
2025-05-04T21:39:00-04:00,5650.4,5650.5,5644,5644.3,171
2025-05-04T21:42:00-04:00,5644.8,5646.3,5643.8,5644.8,146
2025-05-04T21:45:00-04:00,5644.9,5645.3,5643.2,5644.5,139
2025-05-04T21:48:00-04:00,5644.3,5644.3,5638.8,5640.8,151
2025-05-04T21:51:00-04:00,5641,5643.8,5641,5642.8,110
2025-05-04T21:54:00-04:00,5642.9,5642.9,5639,5639.8,106
2025-05-04T21:57:00-04:00,5639.9,5640,5638,5639.5,76
2025-05-04T22:00:00-04:00,5639.3,5642.2,5638.5,5641.5,116
2025-05-04T22:03:00-04:00,5641.3,5641.8,5640.3,5640.7,64
2025-05-04T22:06:00-04:00,5640.5,5642,5638.3,5638.8,133
2025-05-04T22:09:00-04:00,5639.3,5642.3,5639.2,5642,96
2025-05-04T22:12:00-04:00,5641.9,5643.8,5641.9,5643.3,85
2025-05-04T22:15:00-04:00,5643.4,5644,5642.2,5642.8,95
2025-05-04T22:18:00-04:00,5643,5647,5643,5645.4,136
2025-05-04T22:21:00-04:00,5645.3,5647,5644.8,5646.7,79
2025-05-04T22:24:00-04:00,5646.5,5646.8,5645.3,5645.5,70
2025-05-04T22:27:00-04:00,5645.3,5645.5,5644.8,5645.5,30
2025-05-04T22:30:00-04:00,5645.8,5646,5644,5644.2,43
2025-05-04T22:33:00-04:00,5644.3,5645.4,5644,5645,83
2025-05-04T22:36:00-04:00,5645.3,5645.4,5644,5644.9,43
2025-05-04T22:39:00-04:00,5644.8,5645.9,5644,5644.8,80
2025-05-04T22:42:00-04:00,5645,5645.3,5642.8,5643.8,84
2025-05-04T22:45:00-04:00,5644,5647.3,5643.8,5647.3,109
2025-05-04T22:48:00-04:00,5647.5,5647.5,5645.5,5646.3,83
2025-05-04T22:51:00-04:00,5646.5,5646.5,5645.5,5646.5,53
2025-05-04T22:54:00-04:00,5646.3,5646.5,5645.5,5645.5,49
2025-05-04T22:57:00-04:00,5645.4,5645.5,5644.5,5645,75
2025-05-04T23:00:00-04:00,5645.3,5645.5,5644.3,5644.9,83
2025-05-04T23:03:00-04:00,5644.8,5645,5642.3,5644.5,83
2025-05-04T23:06:00-04:00,5644.7,5645.3,5644.5,5645,36
2025-05-04T23:09:00-04:00,5644.8,5647.5,5644.3,5646.8,95
2025-05-04T23:12:00-04:00,5646.7,5646.8,5644.5,5644.8,62
2025-05-04T23:15:00-04:00,5644.7,5644.8,5642.8,5643.3,72
2025-05-04T23:18:00-04:00,5643,5646,5641.5,5645.8,75
2025-05-04T23:21:00-04:00,5645.9,5645.9,5641.3,5641.3,57
2025-05-04T23:24:00-04:00,5641,5642.5,5641,5641.3,50
2025-05-04T23:27:00-04:00,5641.5,5641.5,5641,5641.5,44
2025-05-04T23:30:00-04:00,5641.4,5642,5640.3,5641.5,39
2025-05-04T23:33:00-04:00,5642.3,5643.8,5641.8,5643.8,40
2025-05-04T23:36:00-04:00,5643.9,5646.3,5643,5646,84
2025-05-04T23:39:00-04:00,5646.5,5650.3,5646.5,5649.5,117
2025-05-04T23:42:00-04:00,5649.3,5650.5,5647.8,5647.8,84
2025-05-04T23:45:00-04:00,5647.7,5647.8,5645.3,5646.7,101
2025-05-04T23:48:00-04:00,5646.8,5647.3,5646.4,5647,34
2025-05-04T23:51:00-04:00,5646.9,5648.4,5646.8,5647.8,45
2025-05-04T23:54:00-04:00,5648.2,5648.4,5647.8,5647.8,39
2025-05-04T23:57:00-04:00,5647.9,5648.8,5646.8,5647.8,61
2025-05-05T00:00:00-04:00,5647.5,5647.8,5646.5,5646.8,61
2025-05-05T00:03:00-04:00,5646.5,5646.8,5645.8,5646.5,54
2025-05-05T00:06:00-04:00,5646.3,5646.5,5641.3,5641.5,163
2025-05-05T00:09:00-04:00,5641.4,5642.5,5640,5640.9,94
2025-05-05T00:12:00-04:00,5640.8,5645.3,5640.8,5645.3,149
2025-05-05T00:15:00-04:00,5645,5645.3,5642.8,5643.3,106
2025-05-05T00:18:00-04:00,5643.2,5644.3,5641.8,5644,94
2025-05-05T00:21:00-04:00,5644.3,5645.4,5644,5645.3,64
2025-05-05T00:24:00-04:00,5645.2,5645.5,5643.7,5644,92
2025-05-05T00:27:00-04:00,5644.3,5644.3,5643,5643.8,56
2025-05-05T00:30:00-04:00,5643.7,5645.9,5643.7,5645.5,88
2025-05-05T00:33:00-04:00,5645.8,5646.3,5645,5645.2,74
2025-05-05T00:36:00-04:00,5645.3,5645.5,5644,5645.2,66
2025-05-05T00:39:00-04:00,5645.3,5645.7,5644.3,5644.8,57
2025-05-05T00:42:00-04:00,5644.5,5645.3,5644.3,5645.3,50
2025-05-05T00:45:00-04:00,5645.2,5646,5643.3,5643.5,100
2025-05-05T00:48:00-04:00,5643,5644,5642.8,5643,37
2025-05-05T00:51:00-04:00,5643.2,5643.3,5642,5642,52
2025-05-05T00:54:00-04:00,5642.2,5642.3,5640.8,5641.5,65
2025-05-05T00:57:00-04:00,5641.8,5642.7,5641.8,5641.8,95
2025-05-05T01:00:00-04:00,5641.9,5647.3,5641.9,5646.5,165
2025-05-05T01:03:00-04:00,5646.7,5647.8,5645.8,5645.8,91
2025-05-05T01:06:00-04:00,5645.9,5650.2,5645.7,5648.3,106
2025-05-05T01:09:00-04:00,5648.2,5649,5647,5648.8,62
2025-05-05T01:12:00-04:00,5649.3,5650.8,5648.8,5648.8,68
2025-05-05T01:15:00-04:00,5648.5,5648.8,5647,5647.8,87
2025-05-05T01:18:00-04:00,5648,5648.8,5647.3,5648.5,60
2025-05-05T01:21:00-04:00,5648.4,5648.5,5647.8,5647.8,56
2025-05-05T01:24:00-04:00,5647.9,5648.3,5647.3,5647.8,64
2025-05-05T01:27:00-04:00,5647.9,5648.3,5647,5647.5,59
2025-05-05T01:30:00-04:00,5647.7,5649,5647.5,5647.5,107
2025-05-05T01:33:00-04:00,5647.3,5649.4,5647.3,5649.3,78
2025-05-05T01:36:00-04:00,5649.5,5650,5646.4,5646.4,129
2025-05-05T01:39:00-04:00,5646.5,5647.8,5646.5,5647.3,69
2025-05-05T01:42:00-04:00,5647.4,5649.5,5646.2,5646.5,113
2025-05-05T01:45:00-04:00,5646.4,5647.4,5646,5646.5,90
2025-05-05T01:48:00-04:00,5646.7,5647,5644.9,5645.4,89
2025-05-05T01:51:00-04:00,5645.5,5647.5,5645.3,5647.5,78
2025-05-05T01:54:00-04:00,5647.4,5647.4,5645.9,5646.9,52
2025-05-05T01:57:00-04:00,5647,5648.8,5646.8,5647.8,57
2025-05-05T02:00:00-04:00,5648,5653.8,5648,5653.3,245
2025-05-05T02:03:00-04:00,5653,5653,5651,5651.5,121
2025-05-05T02:06:00-04:00,5651.4,5651.8,5649.8,5650.4,134
2025-05-05T02:09:00-04:00,5650.5,5651.8,5649.7,5649.8,120
2025-05-05T02:12:00-04:00,5649.7,5652,5649.5,5651.7,69
2025-05-05T02:15:00-04:00,5651.8,5652.5,5650.4,5651,93
2025-05-05T02:18:00-04:00,5650.9,5651.8,5650,5650.8,110
2025-05-05T02:21:00-04:00,5650.9,5652.2,5650.7,5651.8,90
2025-05-05T02:24:00-04:00,5651.5,5653,5650.9,5652.2,100
2025-05-05T02:27:00-04:00,5652.3,5653.5,5652,5653.3,96
2025-05-05T02:30:00-04:00,5653.2,5654.5,5652.3,5654.4,77
2025-05-05T02:33:00-04:00,5654.3,5655.3,5653.8,5654.5,85
2025-05-05T02:36:00-04:00,5654.8,5656,5654.3,5656,88
2025-05-05T02:39:00-04:00,5656.5,5657.5,5655.8,5657.3,95
2025-05-05T02:42:00-04:00,5657,5658,5655.7,5655.8,73
2025-05-05T02:45:00-04:00,5655.7,5655.8,5652.3,5652.3,97
2025-05-05T02:48:00-04:00,5652.2,5652.5,5650.5,5652,85
2025-05-05T02:51:00-04:00,5651.8,5652.4,5650.8,5651.2,56
2025-05-05T02:54:00-04:00,5651,5651.5,5649.8,5650.3,49
2025-05-05T02:57:00-04:00,5650,5650.8,5649.3,5650,78
2025-05-05T03:00:00-04:00,5650.3,5650.5,5647.8,5648.5,240
2025-05-05T03:03:00-04:00,5648.4,5649.3,5647.8,5648.5,149
2025-05-05T03:06:00-04:00,5648.7,5649,5647.8,5649,102
2025-05-05T03:09:00-04:00,5648.9,5650,5648.3,5648.8,121
2025-05-05T03:12:00-04:00,5649,5650.3,5648.4,5648.4,127
2025-05-05T03:15:00-04:00,5648.3,5648.8,5643.8,5644.8,167
2025-05-05T03:18:00-04:00,5645,5647.8,5643.8,5647.8,142
2025-05-05T03:21:00-04:00,5647.7,5649.8,5647,5649.3,134
2025-05-05T03:24:00-04:00,5649,5649.9,5646.7,5647,94
2025-05-05T03:27:00-04:00,5646.9,5648.7,5646.3,5647.8,120
2025-05-05T03:30:00-04:00,5647.5,5649.4,5647.5,5649.3,99
2025-05-05T03:33:00-04:00,5649.4,5650.5,5648.5,5648.8,98
2025-05-05T03:36:00-04:00,5648.5,5649.5,5645,5647,151
