timestamp,open,high,low,close,volume
1687132800000,15118.299,15118.299,15109.409,15110.889,151200
1687132860000,15110.907,15110.907,15106.549,15108.189,108450
1687132920000,15108.137,15109.289,15105.119,15108.589,105300
1687132980000,15108.659,15110.087,15106.819,15108.837,104850
1687133040000,15108.819,15109.999,15103.379,15103.849,94500
1687133100000,15103.589,15107.299,15102.539,15104.159,96750
1687133160000,15104.127,15105.587,15098.829,15098.829,106650
1687133220000,15098.897,15103.999,15096.519,15097.189,85500
1687133280000,15097.319,15101.769,15097.299,15100.369,94500
1687133340000,15100.397,15100.397,15097.159,15097.889,72000
1687133400000,15097.629,15098.089,15096.589,15097.199,72000
1687133460000,15097.059,15097.397,15095.129,15095.679,68850
1687133520000,15095.829,15100.799,15095.209,15099.579,75600
1687133580000,15099.699,15101.599,15097.599,15099.689,64350.00000000001
1687133640000,15099.677,15101.789,15097.049,15098.097,69300
1687133700000,15097.899,15100.299,15095.709,15096.839,104400
1687133760000,15096.897,15097.297,15095.219,15096.389,94050
1687133820000,15096.387,15096.699,15092.109,15094.609,79200
1687133880000,15094.527,15097.499,15094.129,15097.109,78300
1687133940000,15097.077,15097.599,15095.109,15096.589,67500
1687134000000,15096.789,15099.817,15096.509,15099.169,72450
1687134060000,15099.299,15101.399,15099.089,15100.059,76950
1687134120000,15100.189,15101.597,15099.849,15100.309,67500
1687134180000,15100.307,15101.409,15100.089,15100.549,66150
1687134240000,15100.799,15100.899,15099.029,15100.579,67050
1687134300000,15100.617,15100.797,15099.619,15099.789,66600
1687134360000,15099.229,15099.709,15097.279,15098.559,34200
1687134420000,15098.547,15098.797,15097.019,15098.289,27000
1687134480000,15098.067,15099.487,15097.709,15098.579,36000
1687134540000,15098.597,15098.599,15096.729,15097.049,45450
1687134600000,15097.087,15097.087,15090.749,15091.619,64800
1687134660000,15091.749,15093.289,15087.039,15089.219,97650
1687134720000,15089.197,15090.789,15088.019,15088.619,84150
1687134780000,15088.677,15088.677,15085.809,15086.039,68850
1687134840000,15086.057,15088.269,15085.119,15087.909,64350.00000000001
1687134900000,15088.097,15089.089,15086.509,15088.349,71100
1687134960000,15088.649,15095.499,15088.629,15093.249,85950
1687135020000,15093.487,15096.097,15093.119,15094.007,64350.00000000001
1687135080000,15093.919,15094.299,15091.629,15093.119,57150
1687135140000,15093.299,15093.889,15091.739,15093.289,59850
1687135200000,15093.017,15093.017,15090.059,15091.209,68850
1687135260000,15091.259,15091.497,15089.619,15090.829,53100
1687135320000,15090.897,15092.789,15089.587,15089.649,64800
1687135380000,15089.619,15091.987,15088.869,15091.089,58050
1687135440000,15091.269,15091.779,15089.109,15089.719,58050
1687135500000,15089.737,15093.499,15089.229,15093.499,61200
1687135560000,15093.267,15095.109,15092.709,15094.609,70650
1687135620000,15094.617,15094.699,15091.099,15091.339,48600
1687135680000,15091.609,15093.099,15091.209,15092.639,44550
1687135740000,15092.667,15093.299,15091.239,15092.769,54900
1687135800000,15092.869,15093.409,15091.669,15093.209,39600
1687135860000,15093.369,15093.889,15091.539,15091.999,58500
1687135920000,15091.767,15092.997,15090.719,15090.719,60750
1687135980000,15090.747,15091.707,15089.649,15090.109,29700
1687136040000,15090.027,15091.289,15089.109,15090.919,32850
1687136100000,15090.897,15092.499,15089.629,15092.389,36900
1687136160000,15092.387,15092.999,15091.679,15092.049,66150
1687136220000,15092.087,15093.109,15091.159,15093.109,36450
1687136280000,15093.579,15094.079,15092.819,15094.079,41850
1687136340000,15094.509,15095.099,15093.389,15094.069,32850
1687136400000,15094.689,15094.989,15091.809,15094.279,60750
1687136460000,15094.247,15094.799,15091.139,15094.179,58500
1687136520000,15094.609,15097.889,15094.509,15095.709,79650
1687136580000,15095.707,15095.897,15093.079,15093.879,63000
1687136640000,15093.837,15095.989,15092.159,15095.809,54900
1687136700000,15095.787,15098.999,15095.549,15098.269,61200
1687136760000,15098.297,15100.409,15096.129,15096.559,67950
1687136820000,15096.547,15096.547,15094.709,15095.209,42750
1687136880000,15095.499,15096.399,15094.559,15094.819,45000
1687136940000,15095.089,15095.119,15093.209,15093.589,51300
1687137000000,15093.567,15094.799,15092.319,15092.659,24750
1687137060000,15092.759,15093.399,15091.649,15092.599,58500
1687137120000,15092.597,15092.597,15090.059,15090.059,44100
1687137180000,15090.097,15091.299,15088.319,15090.339,45900
1687137240000,15091.389,15093.287,15091.349,15092.339,29250
1687137300000,15092.317,15096.487,15092.229,15094.839,68400
1687137360000,15094.847,15097.099,15094.249,15096.789,63000
1687137420000,15096.919,15097.209,15093.759,15093.759,50400
1687137480000,15093.899,15095.609,15093.149,15094.389,49050
1687137540000,15094.639,15095.199,15094.189,15094.709,22950
1687137600000,15094.899,15096.409,15094.559,15095.619,44100
1687137660000,15095.647,15095.647,15093.349,15094.109,44100
1687137720000,15094.299,15095.289,15092.629,15095.139,40500
1687137780000,15095.127,15095.299,15093.869,15094.379,18900
1687137840000,15094.367,15094.389,15091.689,15092.139,49050
1687137900000,15092.187,15093.099,15091.529,15093.099,53550
1687137960000,15093.069,15094.179,15092.329,15092.519,54900
1687138020000,15092.607,15092.787,15089.489,15090.599,61650
1687138080000,15090.557,15090.819,15089.719,15090.299,46800
1687138140000,15090.297,15091.789,15089.629,15091.349,67950
1687138200000,15091.377,15093.179,15089.619,15092.819,82350
1687138260000,15093.079,15094.789,15092.649,15093.219,48150
1687138320000,15093.187,15094.199,15091.229,15091.549,68400
1687138380000,15091.329,15092.389,15090.629,15090.729,73350
1687138440000,15090.757,15090.757,15088.789,15088.829,52200
1687138500000,15088.867,15090.799,15087.619,15090.109,57600
1687138560000,15090.249,15090.497,15087.019,15087.529,67500
1687138620000,15087.899,15088.689,15087.039,15087.789,59850
1687138680000,15087.849,15090.779,15087.849,15088.579,62549.99999999999
1687138740000,15088.909,15090.499,15088.829,15090.089,68400
1687138800000,15090.229,15092.599,15088.809,15088.809,60300
1687138860000,15089.409,15089.897,15087.139,15087.639,56250
1687138920000,15087.607,15089.789,15087.009,15089.049,57600
1687138980000,15089.149,15091.389,15086.819,15086.839,75600
1687139040000,15087.029,15088.399,15085.809,15086.679,80550
1687139100000,15086.687,15087.119,15085.799,15087.089,49950
1687139160000,15087.019,15088.689,15086.669,15088.389,58950
1687139220000,15088.407,15088.897,15088.009,15088.129,45900
1687139280000,15088.279,15089.219,15087.369,15088.219,42300
1687139340000,15088.239,15090.389,15088.199,15090.179,52650
1687139400000,15089.899,15089.987,15088.239,15089.579,49950
1687139460000,15089.359,15089.989,15088.759,15089.079,40050
1687139520000,15089.129,15090.877,15089.049,15090.349,52650
1687139580000,15090.609,15091.597,15090.229,15090.259,63450.00000000001
1687139640000,15090.399,15090.619,15086.609,15087.749,43650
1687139700000,15087.747,15088.397,15086.629,15086.809,29250
1687139760000,15087.029,15089.379,15086.819,15088.329,39600
1687139820000,15088.307,15089.369,15087.749,15089.159,53100
1687139880000,15089.177,15090.297,15088.219,15089.349,60300
1687139940000,15089.679,15089.769,15087.609,15088.699,52200
1687140000000,15088.637,15089.609,15087.319,15088.099,56700
1687140060000,15088.189,15089.579,15087.089,15089.209,40950
1687140120000,15089.389,15090.799,15089.099,15090.699,54900
1687140180000,15090.697,15090.709,15089.829,15090.379,46350
1687140240000,15090.327,15090.697,15089.789,15089.849,48150
1687140300000,15090.019,15090.539,15089.689,15090.359,42300
1687140360000,15090.337,15092.297,15090.019,15092.099,45900
1687140420000,15091.907,15092.109,15090.729,15092.089,42750
1687140480000,15091.847,15095.309,15090.769,15094.139,72450
1687140540000,15094.127,15094.289,15092.819,15093.379,78750
1687140600000,15093.519,15094.419,15093.049,15093.539,42300
1687140660000,15093.899,15095.189,15092.909,15094.319,49050
1687140720000,15094.417,15095.199,15092.519,15093.089,52200
1687140780000,15093.027,15093.899,15092.639,15093.179,51300
1687140840000,15093.229,15094.899,15093.219,15094.789,26100
1687140900000,15094.607,15096.399,15094.209,15095.829,63900
1687140960000,15096.039,15096.789,15094.829,15095.039,40050
1687141020000,15095.169,15095.289,15093.669,15095.289,51750
1687141080000,15094.899,15095.299,15093.529,15095.049,43200
1687141140000,15095.087,15095.087,15093.299,15093.519,29700
1687141200000,15093.409,15094.289,15093.019,15094.169,45000
1687141260000,15094.039,15094.607,15093.099,15093.859,52650
1687141320000,15094.109,15096.097,15094.009,15095.769,36000
1687141380000,15095.919,15096.769,15095.339,15095.759,61200
1687141440000,15095.787,15098.599,15095.529,15098.269,46350
1687141500000,15098.307,15102.619,15098.069,15102.619,50850
1687141560000,15102.537,15104.089,15101.319,15104.089,60750
1687141620000,15103.847,15104.799,15103.517,15104.269,54450
1687141680000,15104.619,15107.617,15104.319,15106.689,58050
1687141740000,15106.637,15107.239,15105.349,15106.299,61200
1687141800000,15106.107,15107.119,15105.839,15106.319,46800
1687141860000,15106.549,15106.987,15105.159,15105.309,45900
1687141920000,15105.497,15105.497,15104.139,15105.019,45900
1687141980000,15105.087,15105.299,15103.089,15103.389,54900
1687142040000,15103.327,15104.419,15103.119,15103.889,54000
1687142100000,15104.089,15105.289,15103.319,15104.059,35550
1687142160000,15104.269,15105.299,15103.819,15104.489,48150
1687142220000,15104.257,15104.989,15104.039,15104.079,55800
1687142280000,15104.159,15104.489,15103.629,15104.089,24750
1687142340000,15104.159,15104.489,15103.049,15103.119,27900
1687142400000,15103.077,15105.399,15102.889,15105.109,49500
1687142460000,15105.149,15106.799,15105.069,15106.799,35100
1687142520000,15107.089,15109.599,15106.869,15108.289,39600
1687142580000,15108.317,15108.587,15106.039,15106.249,48150
1687142640000,15106.059,15106.099,15104.039,15104.079,36900
1687142700000,15104.389,15104.789,15103.229,15104.089,52650
