time,open,high,low,close,Volume
2018-09-02T18:00:00-04:00,7665.159,7666.76,7662.16,7663.16,313800.0
2018-09-02T18:03:00-04:00,7663.56,7664.37,7659.86,7659.87,206590.0
2018-09-02T18:06:00-04:00,7660.07,7661.06,7658.86,7660.67,141080.0
2018-09-02T18:09:00-04:00,7660.67,7661.16,7659.86,7660.36,83190.0
2018-09-02T18:12:00-04:00,7660.659,7660.66,7657.77,7658.57,149420.0
2018-09-02T18:15:00-04:00,7658.659,7660.169,7658.26,7660.06,114690.0
2018-09-02T18:18:00-04:00,7660.06,7660.17,7658.66,7660.17,144700.0
2018-09-02T18:21:00-04:00,7660.37,7660.56,7659.159,7659.369,69460.0
2018-09-02T18:24:00-04:00,7659.569,7659.87,7658.06,7659.37,128140.0
2018-09-02T18:27:00-04:00,7659.56,7660.06,7658.27,7659.07,110430.0
2018-09-02T18:30:00-04:00,7659.07,7659.07,7657.66,7658.07,109280.0
2018-09-02T18:33:00-04:00,7658.07,7658.16,7657.36,7658.059,51990.0
2018-09-02T18:36:00-04:00,7658.059,7658.07,7656.76,7657.06,47530.0
2018-09-02T18:39:00-04:00,7657.16,7658.57,7657.16,7658.57,55720.0
2018-09-02T18:42:00-04:00,7658.57,7660.06,7658.36,7658.66,103170.0
2018-09-02T18:45:00-04:00,7658.859,7660.26,7658.66,7659.869,52780.0
2018-09-02T18:48:00-04:00,7659.869,7659.869,7659.36,7659.77,28600.0
2018-09-02T18:51:00-04:00,7659.77,7660.27,7658.66,7658.76,59500.0
2018-09-02T18:54:00-04:00,7658.76,7658.76,7657.57,7658.56,43630.0
2018-09-02T18:57:00-04:00,7659.059,7659.37,7659.059,7659.37,28960.0
2018-09-02T19:00:00-04:00,7659.76,7660.17,7659.26,7659.26,43900.0
2018-09-02T19:03:00-04:00,7659.26,7659.77,7657.67,7657.76,56540.0
2018-09-02T19:06:00-04:00,7657.76,7658.66,7657.569,7658.57,53370.0
2018-09-02T19:09:00-04:00,7658.57,7658.86,7658.06,7658.86,44950.0
2018-09-02T19:12:00-04:00,7659.06,7659.56,7659.06,7659.27,22940.0
2018-09-02T19:15:00-04:00,7659.36,7660.16,7659.27,7659.76,49780.0
2018-09-02T19:18:00-04:00,7659.759,7660.67,7659.759,7660.67,39120.0
2018-09-02T19:21:00-04:00,7660.669,7661.36,7660.37,7660.37,74490.0
2018-09-02T19:24:00-04:00,7660.559,7662.87,7660.37,7662.57,93370.0
2018-09-02T19:27:00-04:00,7662.67,7663.16,7662.56,7663.06,54240.0
2018-09-02T19:30:00-04:00,7663.16,7664.77,7662.86,7664.06,120940.0
2018-09-02T19:33:00-04:00,7664.16,7665.87,7664.06,7665.759,145950.0
2018-09-02T19:36:00-04:00,7665.759,7667.07,7665.56,7666.06,166640.0
2018-09-02T19:39:00-04:00,7666.06,7666.27,7665.77,7666.17,55300.0
2018-09-02T19:42:00-04:00,7666.169,7666.369,7665.66,7666.06,59560.0
2018-09-02T19:45:00-04:00,7666.06,7666.67,7665.86,7666.57,69150.0
2018-09-02T19:48:00-04:00,7666.57,7666.66,7665.56,7666.07,92830.0
2018-09-02T19:51:00-04:00,7666.159,7666.66,7665.66,7665.77,58280.0
2018-09-02T19:54:00-04:00,7665.869,7668.06,7665.869,7666.559,167700.0
2018-09-02T19:57:00-04:00,7666.77,7667.17,7665.57,7665.67,82320.0
2018-09-02T20:00:00-04:00,7665.67,7666.17,7663.369,7663.57,288030.0
2018-09-02T20:03:00-04:00,7663.57,7664.659,7663.06,7664.16,219320.0
2018-09-02T20:06:00-04:00,7664.269,7665.27,7663.359,7663.359,274180.0
2018-09-02T20:09:00-04:00,7663.359,7664.76,7662.36,7662.67,229160.0
2018-09-02T20:12:00-04:00,7662.759,7664.56,7662.26,7664.26,194370.0
2018-09-02T20:15:00-04:00,7664.37,7664.87,7663.06,7664.269,222280.0
2018-09-02T20:18:00-04:00,7664.369,7665.17,7663.37,7664.559,246060.0
2018-09-02T20:21:00-04:00,7664.559,7665.57,7663.87,7664.37,182370.0
2018-09-02T20:24:00-04:00,7664.569,7665.669,7664.37,7665.36,127210.0
2018-09-02T20:27:00-04:00,7665.36,7665.67,7665.06,7665.569,62600.0
2018-09-02T20:30:00-04:00,7665.569,7665.569,7664.26,7664.67,103580.0
2018-09-02T20:33:00-04:00,7664.669,7664.87,7663.57,7664.17,170880.0
2018-09-02T20:36:00-04:00,7664.169,7664.67,7662.56,7663.26,201330.0
2018-09-02T20:39:00-04:00,7663.37,7663.669,7659.66,7660.67,283550.0
2018-09-02T20:42:00-04:00,7660.769,7663.26,7660.56,7663.06,200210.0
2018-09-02T20:45:00-04:00,7663.06,7665.16,7662.87,7665.16,234310.0
2018-09-02T20:48:00-04:00,7665.369,7665.67,7664.66,7665.069,168370.0
2018-09-02T20:51:00-04:00,7665.069,7665.16,7662.67,7663.07,158010.0
2018-09-02T20:54:00-04:00,7663.069,7663.87,7660.06,7662.86,197170.0
2018-09-02T20:57:00-04:00,7663.059,7664.66,7662.36,7664.159,185720.0
2018-09-02T21:00:00-04:00,7664.159,7665.169,7660.67,7664.86,269800.0
2018-09-02T21:03:00-04:00,7665.069,7665.07,7663.77,7664.17,106180.0
2018-09-02T21:06:00-04:00,7664.17,7666.17,7662.16,7663.06,186140.0
2018-09-02T21:09:00-04:00,7663.06,7663.56,7662.159,7663.06,140490.0
2018-09-02T21:12:00-04:00,7663.06,7663.06,7660.07,7660.07,262680.0
2018-09-02T21:15:00-04:00,7660.16,7663.07,7658.36,7659.57,577860.0
2018-09-02T21:18:00-04:00,7659.57,7660.569,7657.559,7660.569,318150.0
2018-09-02T21:21:00-04:00,7660.669,7661.17,7660.06,7660.76,341720.0
2018-09-02T21:24:00-04:00,7660.76,7661.57,7660.36,7661.07,216420.0
2018-09-02T21:27:00-04:00,7661.07,7663.17,7660.76,7662.76,280290.0
2018-09-02T21:30:00-04:00,7662.759,7663.36,7660.159,7663.07,729370.0
2018-09-02T21:33:00-04:00,7663.07,7665.76,7661.659,7664.77,484350.0
2018-09-02T21:36:00-04:00,7664.77,7666.069,7664.16,7665.06,321280.0
2018-09-02T21:39:00-04:00,7665.259,7666.16,7664.56,7664.67,309330.0
2018-09-02T21:42:00-04:00,7664.77,7665.76,7664.36,7665.27,209050.0
2018-09-02T21:45:00-04:00,7665.27,7666.87,7664.659,7666.26,259020.0
2018-09-02T21:48:00-04:00,7666.37,7667.16,7664.76,7664.86,216180.0
2018-09-02T21:51:00-04:00,7664.86,7666.36,7664.36,7666.07,262500.0
2018-09-02T21:54:00-04:00,7666.159,7668.77,7664.76,7668.27,303850.0
2018-09-02T21:57:00-04:00,7668.27,7669.56,7667.27,7667.57,320880.0
2018-09-02T22:00:00-04:00,7667.569,7668.06,7665.26,7666.36,263970.0
2018-09-02T22:03:00-04:00,7666.569,7666.57,7663.76,7664.56,388180.0
