time,open,high,low,close,Volume
2023-08-07T18:00:00-04:00,4519.701,4521.089,4519.701,4520.451,58560.0
2023-08-07T18:05:00-04:00,4520.58,4520.58,4519.334,4519.602,19520.0
2023-08-07T18:10:00-04:00,4519.349,4519.849,4519.091,4519.359,18300.0
2023-08-07T18:15:00-04:00,4519.214,4519.362,4518.344,4518.369,36600.0
2023-08-07T18:20:00-04:00,4518.612,4518.856,4518.119,4518.119,6100.0
2023-08-07T18:25:00-04:00,4518.372,4518.372,4517.857,4517.86,11590.0
2023-08-07T18:30:00-04:00,4517.993,4518.499,4517.86,4518.417,10370.0
2023-08-07T18:35:00-04:00,4518.502,4519.104,4518.354,4519.104,3660.0
2023-08-07T18:40:00-04:00,4519.357,4519.601,4518.623,4518.623,10980.0
2023-08-07T18:45:00-04:00,4518.882,4518.882,4518.611,4518.611,1220.0
2023-08-07T18:50:00-04:00,4518.379,4518.873,4518.361,4518.677,10980.0
2023-08-07T18:55:00-04:00,4518.376,4518.392,4518.187,4518.392,1830.0
2023-08-07T19:00:00-04:00,4518.636,4518.937,4518.371,4518.937,10370.0
2023-08-07T19:05:00-04:00,4518.687,4518.687,4517.631,4518.13,9760.0
2023-08-07T19:10:00-04:00,4517.902,4518.142,4517.634,4517.634,10370.0
2023-08-07T19:15:00-04:00,4517.597,4518.347,4517.597,4518.347,12200.0
2023-08-07T19:20:00-04:00,4518.11,4518.606,4518.101,4518.369,19520.0
2023-08-07T19:25:00-04:00,4518.483,4518.619,4518.351,4518.354,17080.0
2023-08-07T19:30:00-04:00,4518.613,4518.851,4518.351,4518.36,6710.0
2023-08-07T19:40:00-04:00,4518.126,4518.917,4517.614,4518.61,16470.0
2023-08-07T19:45:00-04:00,4518.629,4519.363,4518.373,4519.246,20740.0
2023-08-07T19:50:00-04:00,4519.101,4519.366,4518.111,4518.373,18300.0
2023-08-07T19:55:00-04:00,4518.62,4518.861,4518.367,4518.861,12810.0
2023-08-07T20:00:00-04:00,4519.009,4519.904,4517.424,4517.424,76860.0
2023-08-07T20:05:00-04:00,4517.189,4518.977,4516.433,4517.924,59170.0
2023-08-07T20:10:00-04:00,4517.674,4518.18,4516.927,4517.436,48190.0
2023-08-07T20:15:00-04:00,4517.674,4518.237,4516.937,4517.924,60390.0
2023-08-07T20:20:00-04:00,4517.81,4518.192,4517.431,4517.747,56160.0
2023-08-07T20:25:00-04:00,4517.822,4518.436,4517.434,4517.693,31110.0
2023-08-07T20:30:00-04:00,4517.443,4517.693,4516.453,4516.703,44530.0
2023-08-07T20:35:00-04:00,4516.962,4518.452,4516.962,4517.94,39040.0
2023-08-07T20:40:00-04:00,4518.247,4518.247,4517.453,4517.697,25620.0
2023-08-07T20:45:00-04:00,4517.877,4518.209,4517.444,4517.959,28670.0
2023-08-07T20:50:00-04:00,4517.694,4518.462,4517.694,4517.697,30500.0
2023-08-07T20:55:00-04:00,4517.441,4517.757,4517.21,4517.457,32940.0
2023-08-07T21:00:00-04:00,4517.21,4517.592,4515.711,4516.47,43920.0
2023-08-07T21:05:00-04:00,4516.767,4516.969,4515.97,4515.976,34160.0
2023-08-07T21:10:00-04:00,4516.232,4516.482,4513.731,4514.237,56380.0
2023-08-07T21:15:00-04:00,4514.002,4514.733,4511.753,4512.003,101910.0
2023-08-07T21:20:00-04:00,4512.259,4513.503,4512.133,4513.241,62220.0
2023-08-07T21:25:00-04:00,4513.132,4513.262,4509.77,4510.282,94330.0
2023-08-07T21:30:00-04:00,4510.532,4512.022,4509.033,4511.279,132370.0
2023-08-07T21:35:00-04:00,4511.52,4511.52,4509.337,4510.292,130710.0
2023-08-07T21:40:00-04:00,4510.532,4511.029,4509.031,4509.281,98820.0
2023-08-07T21:45:00-04:00,4509.53,4510.786,4509.031,4510.533,60390.0
2023-08-07T21:50:00-04:00,4510.78,4511.577,4509.54,4509.799,67100.0
2023-08-07T21:55:00-04:00,4509.537,4510.052,4507.31,4508.059,74070.0
2023-08-07T22:00:00-04:00,4507.921,4508.664,4506.81,4508.553,71280.0
2023-08-07T22:05:00-04:00,4508.312,4509.062,4507.813,4508.304,66490.0
2023-08-07T22:10:00-04:00,4508.43,4509.562,4508.304,4509.306,45750.0
2023-08-07T22:15:00-04:00,4509.55,4511.597,4509.291,4511.046,42700.0
2023-08-07T22:20:00-04:00,4510.787,4510.799,4509.291,4509.56,24400.0
2023-08-07T22:25:00-04:00,4509.794,4511.056,4509.572,4510.303,43310.0
2023-08-07T22:30:00-04:00,4510.541,4511.044,4509.801,4510.797,37820.0
2023-08-07T22:35:00-04:00,4510.553,4512.303,4510.31,4512.303,43310.0
2023-08-07T22:40:00-04:00,4512.05,4512.552,4511.559,4512.041,31720.0
2023-08-07T22:45:00-04:00,4511.806,4512.062,4510.073,4510.322,34770.0
2023-08-07T22:50:00-04:00,4510.079,4511.054,4509.82,4510.551,45750.0
2023-08-07T22:55:00-04:00,4510.801,4511.313,4510.627,4511.072,20740.0
2023-08-07T23:00:00-04:00,4510.814,4510.877,4510.311,4510.314,43310.0
2023-08-07T23:05:00-04:00,4510.073,4510.377,4509.339,4509.571,33550.0
2023-08-07T23:10:00-04:00,4509.33,4511.829,4509.33,4511.817,29890.0
2023-08-07T23:15:00-04:00,4512.061,4512.061,4508.831,4508.969,41480.0
2023-08-07T23:20:00-04:00,4509.09,4509.093,4507.6,4508.843,45750.0
2023-08-07T23:25:00-04:00,4508.59,4508.852,4508.1,4508.341,26230.0
2023-08-07T23:30:00-04:00,4508.6,4509.096,4507.601,4507.601,37210.0
2023-08-07T23:35:00-04:00,4507.856,4508.109,4507.607,4507.622,24400.0
2023-08-07T23:40:00-04:00,4507.86,4508.907,4507.604,4508.363,29280.0
2023-08-07T23:45:00-04:00,4508.6,4509.407,4508.372,4508.872,34770.0
2023-08-07T23:50:00-04:00,4508.986,4509.359,4508.604,4508.866,20740.0
2023-08-07T23:55:00-04:00,4509.11,4509.167,4507.611,4508.114,23180.0
2023-08-08T00:00:00-04:00,4507.984,4508.379,4507.617,4507.626,31720.0
2023-08-08T00:05:00-04:00,4507.876,4508.382,4507.364,4508.382,17690.0
2023-08-08T00:10:00-04:00,4508.617,4508.626,4508.111,4508.382,17690.0
2023-08-08T00:15:00-04:00,4508.12,4509.177,4508.0,4508.617,14640.0
2023-08-08T00:20:00-04:00,4508.437,4508.882,4508.38,4508.741,6710.0
2023-08-08T00:25:00-04:00,4508.633,4509.379,4508.624,4509.136,14030.0
2023-08-08T00:30:00-04:00,4509.427,4509.882,4508.871,4509.392,18910.0
2023-08-08T00:35:00-04:00,4509.63,4509.639,4509.121,4509.377,12200.0
2023-08-08T00:40:00-04:00,4509.642,4510.139,4509.392,4510.006,15860.0
2023-08-08T00:45:00-04:00,4509.88,4510.121,4509.63,4509.633,6710.0
2023-08-08T00:50:00-04:00,4509.883,4510.627,4509.883,4510.627,6100.0
2023-08-08T00:55:00-04:00,4510.519,4510.687,4509.947,4509.947,10370.0
2023-08-08T01:00:00-04:00,4510.01,4510.402,4508.881,4510.402,38430.0
2023-08-08T01:05:00-04:00,4510.633,4510.877,4509.893,4510.146,35990.0
