time,open,high,low,close,Volume
2025-03-30T18:00:00-04:00,3086.17,3093.33,3085.58,3092.44,984
2025-03-30T18:05:00-04:00,3092.47,3097.71,3091.79,3095.74,884
2025-03-30T18:10:00-04:00,3095.61,3095.61,3089.98,3090.65,960
2025-03-30T18:15:00-04:00,3090.73,3090.8,3089.12,3090.07,757
2025-03-30T18:20:00-04:00,3090.17,3091.64,3089.99,3090.87,462
2025-03-30T18:25:00-04:00,3090.82,3090.84,3089.22,3089.24,319
2025-03-30T18:30:00-04:00,3089.12,3089.62,3088.52,3088.95,502
2025-03-30T18:35:00-04:00,3088.9,3090.55,3088.87,3089.66,308
2025-03-30T18:40:00-04:00,3089.67,3089.92,3088.74,3089.33,279
2025-03-30T18:45:00-04:00,3089.32,3089.89,3088.96,3089.33,238
2025-03-30T18:50:00-04:00,3089.34,3089.9,3089.22,3089.76,272
2025-03-30T18:55:00-04:00,3089.79,3090.54,3089.45,3089.93,296
2025-03-30T19:00:00-04:00,3089.92,3090.77,3088.34,3088.6,541
2025-03-30T19:05:00-04:00,3088.64,3088.77,3087.9,3088.41,362
2025-03-30T19:10:00-04:00,3088.4,3090.45,3088.4,3089.95,358
2025-03-30T19:15:00-04:00,3090,3090.24,3089.14,3089.19,299
2025-03-30T19:20:00-04:00,3089.2,3089.87,3088.92,3089.84,237
2025-03-30T19:25:00-04:00,3089.83,3090.6,3088.87,3089.51,423
2025-03-30T19:30:00-04:00,3089.48,3089.78,3088.58,3088.83,321
2025-03-30T19:35:00-04:00,3088.9,3089.49,3087.76,3088.72,478
2025-03-30T19:40:00-04:00,3088.74,3088.8,3088.24,3088.77,519
2025-03-30T19:45:00-04:00,3088.73,3089.14,3088.21,3088.96,204
2025-03-30T19:50:00-04:00,3088.95,3089.3,3088.52,3089.24,319
2025-03-30T19:55:00-04:00,3089.11,3089.65,3088.57,3089.1,775
2025-03-30T20:00:00-04:00,3089.09,3089.64,3085.52,3085.64,675
2025-03-30T20:05:00-04:00,3085.66,3086.15,3084.57,3086.09,628
2025-03-30T20:10:00-04:00,3086.1,3087.47,3085.98,3087.21,438
2025-03-30T20:15:00-04:00,3087.19,3088.45,3086.49,3086.72,745
2025-03-30T20:20:00-04:00,3086.71,3086.81,3085.64,3085.86,458
2025-03-30T20:25:00-04:00,3085.87,3086.44,3082.63,3084.15,624
2025-03-30T20:30:00-04:00,3084.18,3084.43,3082.9,3082.93,828
2025-03-30T20:35:00-04:00,3082.92,3083.97,3082.92,3083.9,567
2025-03-30T20:40:00-04:00,3083.89,3084.22,3083.29,3083.81,513
2025-03-30T20:45:00-04:00,3083.82,3084.4,3083.04,3083.81,505
2025-03-30T20:50:00-04:00,3083.82,3083.85,3080.16,3080.24,740
2025-03-30T20:55:00-04:00,3080.23,3080.36,3077.36,3078.99,858
