timestamp,open,high,low,close,volume
1691366400000,4488.123,4488.927,4487.364,4488.37,21960
1691366460000,4488.629,4488.864,4487.999,4488.379,13420
1691366520000,4488.132,4489.129,4488.132,4488.927,6710
1691366580000,4488.617,4488.879,4488.361,4488.879,20740
1691366640000,4489.123,4489.177,4488.617,4488.867,8540
1691366700000,4489.117,4489.379,4488.87,4489.361,14030
1691366760000,4489.249,4489.37,4488.876,4489.367,10370
1691366820000,4489.117,4489.626,4488.873,4489.126,10370
1691366880000,4489.427,4489.879,4489.364,4489.611,12810
1691366940000,4489.87,4489.873,4489.243,4489.427,7930
1691367000000,4489.626,4490.611,4489.123,4490.611,11590
1691367060000,4490.867,4491.047,4490.614,4490.614,5490
1691367120000,4490.367,4490.623,4490.111,4490.623,6710
1691367180000,4490.864,4490.864,4490.364,4490.367,3050
1691367240000,4490.117,4490.611,4490.111,4490.611,8540
1691367300000,4490.879,4491.126,4490.373,4490.867,12200
1691367360000,4491.12,4491.677,4491.12,4491.37,7320
1691367420000,4491.623,4491.867,4491.361,4491.867,7320
1691367480000,4491.677,4491.677,4491.37,4491.62,3050
1691367540000,4491.737,4492.132,4491.623,4491.927,12200
1691367600000,4491.626,4491.629,4491.12,4491.361,10370
1691367660000,4491.623,4491.677,4491.364,4491.632,3050
1691367720000,4491.797,4491.927,4491.373,4491.629,4270
1691367780000,4491.499,4491.617,4491.177,4491.376,4880
1691367840000,4491.111,4491.614,4491.111,4491.614,3660
1691367900000,4491.367,4491.632,4491.364,4491.614,7320
1691367960000,4491.74,4491.882,4491.376,4491.427,7930
1691368020000,4491.626,4491.626,4491.361,4491.617,1830
1691368080000,4491.37,4491.37,4490.493,4490.493,3790
1691368140000,4490.629,4490.677,4490.117,4490.677,5490
1691368200000,4490.927,4491.132,4490.367,4490.864,15860
1691368260000,4490.677,4490.927,4490.611,4490.614,8540
1691368320000,4490.864,4490.879,4490.614,4490.614,3660
1691368380000,4490.367,4490.876,4490.367,4490.632,3050
1691368440000,4490.37,4490.614,4490.177,4490.177,3050
1691368500000,4490.373,4490.379,4490.12,4490.379,5490
1691368560000,4490.496,4490.626,4490.367,4490.382,6710
1691368620000,4490.49,4490.629,4490.364,4490.623,3050
1691368680000,4490.876,4490.876,4490.629,4490.861,1830
1691368740000,4490.632,4491.427,4490.632,4491.427,4880
1691368800000,4491.114,4491.632,4491.114,4491.623,4270
1691368860000,4491.427,4491.677,4491.367,4491.614,12810
1691368920000,4491.873,4492.427,4491.873,4492.12,3660
1691368980000,4492.677,4492.677,4492.361,4492.611,16470
1691369040000,4492.927,4492.927,4492.752,4492.882,1830
1691369100000,4493.111,4493.126,4492.867,4493.126,3660
1691369160000,4493.24,4493.427,4492.614,4492.677,8540
1691369220000,4492.87,4492.927,4492.611,4492.629,10370
1691369280000,4492.49,4492.49,4492.114,4492.361,10370
1691369340000,4492.126,4492.373,4492.12,4492.12,1830
1691369400000,4492.427,4492.626,4492.126,4492.626,4880
1691369460000,4492.499,4492.876,4492.367,4492.677,10370
1691369580000,4492.876,4492.876,4492.632,4492.632,1220
1691369640000,4492.864,4493.177,4492.62,4493.177,6100
1691369700000,4493.382,4493.632,4493.376,4493.382,8540
1691369760000,4493.617,4493.617,4493.382,4493.382,1220
1691369820000,4493.234,4493.427,4493.114,4493.123,10370
1691369880000,4493.379,4493.379,4493.114,4493.379,6710
1691369940000,4493.129,4493.427,4493.12,4493.427,2440
1691370000000,4493.111,4493.632,4493.111,4493.373,11590
1691370060000,4493.129,4493.379,4493.129,4493.379,1220
1691370120000,4493.177,4493.177,4492.373,4492.373,4880
1691370180000,4492.24,4492.427,4491.677,4491.677,7930
1691370240000,4491.481,4491.864,4491.361,4491.864,11590
1691370300000,4491.981,4493.126,4491.981,4492.879,9760
1691370360000,4493.123,4493.129,4492.611,4492.87,11590
1691370420000,4492.611,4492.876,4492.611,4492.617,3050
1691370480000,4492.379,4492.62,4492.114,4492.37,4880
1691370540000,4492.123,4492.373,4491.861,4491.861,9150
1691370600000,4491.996,4492.62,4491.873,4492.62,8540
1691370660000,4492.731,4492.927,4491.87,4491.87,9150
1691370720000,4491.999,4492.132,4491.864,4491.864,9150
1691370780000,4492.177,4492.177,4491.361,4491.611,14030
1691370840000,4491.879,4492.617,4491.617,4492.367,4270
1691370900000,4492.487,4492.87,4492.361,4492.496,13420
1691370960000,4492.623,4492.87,4492.611,4492.614,16470
1691371020000,4492.382,4492.614,4491.611,4491.611,9760
1691371080000,4491.867,4492.629,4491.611,4492.629,9150
1691371140000,4492.861,4493.373,4492.861,4493.12,8540
1691371200000,4492.879,4492.879,4492.879,4492.879,610
1691371260000,4492.981,4493.177,4492.867,4492.867,6100
1691371320000,4493.12,4493.617,4492.864,4493.37,7320
1691371380000,4493.117,4493.379,4493.114,4493.126,7930
1691371440000,4493.246,4493.427,4492.87,4493.126,13420
1691371500000,4493.231,4493.623,4492.87,4493.623,14640
1691371560000,4493.376,4493.629,4492.879,4492.879,11590
1691371620000,4493.126,4493.126,4492.37,4492.37,4880
1691371680000,4492.617,4492.629,4492.114,4492.114,10370
1691371740000,4491.864,4491.882,4491.367,4491.62,4270
1691371800000,4491.861,4491.927,4491.114,4491.367,18910
1691371860000,4491.623,4491.623,4490.629,4490.861,12200
1691371920000,4490.629,4491.129,4490.626,4490.861,10980
1691371980000,4491.111,4491.677,4491.111,4491.382,11590
1691372040000,4491.123,4491.123,4490.376,4490.677,11590
1691372100000,4490.864,4491.123,4490.111,4491.123,10980
1691372160000,4491.364,4492.376,4491.111,4492.114,14030
1691372220000,4491.984,4492.493,4491.861,4492.493,9760
1691372280000,4492.617,4493.376,4492.487,4492.87,11590
1691372340000,4492.617,4492.879,4491.879,4491.879,11590
1691372400000,4492.114,4492.623,4491.87,4492.611,12200
1691372460000,4492.376,4492.882,4492.114,4492.367,18300
1691372520000,4492.123,4492.379,4491.861,4492.129,12810
1691372580000,4492.37,4492.62,4491.611,4491.927,19520
1691372640000,4491.99,4492.132,4491.864,4491.864,4270
1691372700000,4492.12,4492.632,4492.117,4492.367,10370
1691372760000,4492.626,4492.873,4492.12,4492.617,12200
1691372820000,4492.493,4493.132,4492.361,4493.132,16470
1691372880000,4493.297,4493.379,4492.861,4493.126,13420
1691372940000,4493.364,4493.376,4493.111,4493.12,9150
1691373000000,4492.876,4493.629,4492.876,4493.376,12200
1691373060000,4493.614,4494.12,4493.427,4493.629,6710
1691373120000,4493.376,4493.876,4493.111,4493.629,22570
1691373180000,4493.876,4493.879,4493.614,4493.867,4270
